cpg id,coef,chr,position
intercept,13.3498064440377,"",""
cg00108349,0.158460422990101,chr13,24914658
cg00318519,0.874961733703521,chr2,37035707
cg00475260,0.601325763992469,chr7,127031625
cg00542992,0.290299640309584,chr5,141595655
cg00584670,0.261398248646721,chr5,43603159
cg00843339,0.0697475513488684,chr6,31367527
cg00862770,0.00176837976228194,chr6,35655764
cg01165043,0.265350980467607,chr2,64994402
cg01270709,0.100205442170054,chr11,57519364
cg02331291,0.131687176176025,chr14,36467322
cg02659041,-0.358158345956913,chr16,29171609
cg02827572,-0.707966206247545,chr6,34566246
cg03362798,0.423965024883462,chr10,95105687
cg03628897,0.60915268435412,chr21,45553548
cg03765041,0.0971478584658357,chr7,158620336
cg03825764,0.119721716945382,chr7,75703704
cg04134973,0.807586265452524,chr6,160327506
cg04435807,0.439747539488693,chr10,90610523
cg04484334,-0.677715166160923,chr3,133174675
cg06209210,0.0769014513323811,chr16,3070917
cg06609646,0.448723623129934,chr5,125758447
cg06953454,0.573504349509405,chr17,61951650
cg07531860,0.509239559265786,chr7,154719719
cg07906688,0.168395315058447,chr1,219347887
cg08113459,0.223368996448036,chr16,88034967
cg08189659,-0.0875610630811403,chr19,17622569
cg08453030,0.742622068040945,chr3,171177321
cg08603382,-0.332739128698521,chr10,743973
cg08908135,0.10159495919956,chr13,113405378
cg09705456,-0.0485905051786259,chr11,63839479
cg09863786,0.204461978570014,chr1,36103191
cg09965733,0.109120998190258,chr14,42079132
cg10494981,0.0428724853347233,chr10,711557
cg11139390,2.39527654960493,chr20,43995540
cg12037538,0.592477116677356,chr1,25664881
cg13252915,0.35615314371053,chr6,25992401
cg13288627,0.150595620159086,chr15,75768945
cg13593479,0.204894689418454,chr5,149111749
cg14037945,0.662923570090709,chr19,58430978
cg14298379,1.10218204748898,chr6,16128926
cg15030756,-0.272798154217827,chr15,74907746
cg16188080,0.279009419770466,chr11,75529855
cg16249010,0.193925035540149,chr7,158336562
cg16453673,1.35589192974823,chr12,105630772
cg16866485,2.05031957847041,chr7,4276221
cg17365725,0.409220104387019,chr2,242698749
cg17818912,0.0793753491294303,chr5,68787696
cg17842066,0.632277623550485,chr12,7125202
cg18358952,0.112026574683317,chr14,103468051
cg19005275,0.0380277843919843,chr12,113588263
cg19249157,0.11698004071437,chr19,44010371
cg19745637,0.0599260392330784,chr1,64936599
cg19811864,0.235886401613803,chr1,155036142
cg20136025,-0.126373710007633,chr17,9479058
cg20498895,0.88546525698518,chr3,12883366
cg20666069,0.134902999442139,chr17,47653019
cg21152694,0.456201489139435,chr11,64885413
cg21361343,0.0107647980755484,chr20,37554916
cg21812670,-1.13487858101315,chr1,76251636
cg21854759,0.0404128185135283,chr1,92012499
cg22676693,0.0465741517323421,chr1,57888581
cg24159988,0.191428103639132,chr1,61848996
cg24368962,0.0984277000896118,chr11,111570978
cg25162826,0.125316547350874,chr15,49093720
cg26023751,0.575057543981629,chr1,169763991
cg26182313,0.0333302430112757,chr13,24549720
cg26202898,0.235891354036997,chr17,10748473
cg26971423,0.0820268403957923,chr15,63785031
cg26973266,0.611566393004301,chr17,27070962
cg27062369,0.748719264534077,chr4,101111427
