"","CpG.ID","Gene.Name","TSS","Distance"
"1","cg00108349","LINC00566",24905587,-9071
"2","cg00318519","VIT",36923832,-111875
"3","cg00475260","ZNF800",127032778,1153
"4","cg00542992","SPRY4-IT1",141697887,102232
"5","cg00584670","NNT",43603228,69
"6","cg00843339","MICA-AS1",31368247,720
"7","cg00862770","FKBP5",35656692,928
"8","cg01165043","LINC01800",65090765,96363
"9","cg01270709","BTBD18",57519253,-111
"10","cg02331291","LINC00609",36539632,72310
"11","cg02659041","RRN3P2",29086162,-85447
"12","cg02827572","SPDEF",34524110,-42136
"13","cg03362798","MYOF",95242074,136387
"14","cg03628897","GATD3B",45553564,16
"15","cg03765041","ESYT2",158622319,1983
"16","cg03825764","MDH2",75677336,-26368
"17","cg04134973","MAS1",160312019,-15487
"18","cg04435807","ANKRD22",90611732,1209
"19","cg04484334","BFSP2-AS1",133174620,-55
"20","cg06209210","TNFRSF12A",3070312,-605
"21","cg06609646","GRAMD2B",125758837,390
"22","cg06953454","CSH2",61951089,-561
"23","cg07531860","PAXIP1-AS2",154720226,507
"24","cg07906688","LYPLAL1",219347512,-375
"25","cg08113459","BANP",88003623,-31344
"26","cg08189659","LOC100507551",17622698,129
"27","cg08453030","TNIK",171178197,876
"28","cg08603382","DIP2C",735608,-8365
"29","cg08908135","ATP11A-AS1",113409045,3667
"30","cg09705456","FLRT1",63871361,31882
"31","cg09863786","PSMB2",36107152,3961
"32","cg09965733","LRFN5",42076058,-3074
"33","cg10494981","PRR26",695887,-15670
"34","cg11139390","SYS1-DBNDD2",43991808,-3732
"35","cg12037538","TMEM50A",25664788,-93
"36","cg13252915","HIST1H1A",26018040,25639
"37","cg13288627","SIN3A",75748124,-20821
"38","cg13593479","MIR378A",149112387,638
"39","cg14037945","ZNF417",58427984,-2994
"40","cg14298379","MYLIP",16129316,390
"41","cg15030756","CLK3",74907334,-412
"42","cg16188080","UVRAG",75526211,-3644
"43","cg16249010","PTPRN2",158334468,-2094
"44","cg16453673","APPL2",105630008,-764
"45","cg16866485","LOC105375131",4174469,-101752
"46","cg17365725","GAL3ST2",242716239,17490
"47","cg17818912","OCLN",68788118,422
"48","cg17842066","LPCAT3",7125842,640
"49","cg18358952","CDC42BPB",103523742,55691
"50","cg19005275","CFAP73",113587662,-601
"51","cg19249157","PHLDB3",44008985,-1386
"52","cg19745637","CACHD1",64935811,-788
"53","cg19811864","EFNA4",155036212,70
"54","cg20136025","STX8",9479275,217
"55","cg20498895","RPL32",12883081,-285
"56","cg20666069","NXPH3",47653297,278
"57","cg21152694","ZNHIT2",64885210,-203
"58","cg21361343","FAM83D",37554954,38
"59","cg21812670","RABGGTB",76251878,242
"60","cg21854759","CDC7",91966664,-45835
"61","cg22676693","DAB1",57888784,203
"62","cg24159988","NFIA-AS1",61719190,-129806
"63","cg24368962","PPP2R1B",111637169,66191
"64","cg25162826","CEP152",49103343,9623
"65","cg26023751","C1orf112",169763870,-121
"66","cg26182313","SPATA13",24553764,4044
"67","cg26202898","PIRT",10741418,-7055
"68","cg26971423","USP3",63796709,11678
"69","cg26973266","TRAF4",27071022,60
"70","cg27062369","DDIT4L",101111655,228
